City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,domazlice,49.4405,12.9298,2.97,98,100,7.0,CZ,1675222989
1,beringovskiy,63.05,179.3167,-6.11,97,59,3.46,RU,1675222990
2,namibe,-15.1961,12.1522,21.92,82,100,2.35,AO,1675222991
3,anastacio,-20.4836,-55.8069,22.29,95,100,1.01,BR,1675222710
4,mount gambier,-37.8333,140.7667,18.06,41,91,4.16,AU,1675222992
5,saint george,37.1041,-113.5841,-0.32,37,0,4.12,US,1675222772
6,tuktoyaktuk,69.4541,-133.0374,-39.0,74,0,1.54,CA,1675222993
7,punta arenas,-53.15,-70.9167,12.06,62,75,8.23,CL,1675222993
8,east london,-33.0153,27.9116,21.95,78,4,2.06,ZA,1675222913
9,yellowknife,62.456,-114.3525,-31.71,68,0,5.66,CA,1675222811
10,bluff,-46.6,168.3333,17.15,87,100,3.58,NZ,1675222972
11,stephenville,32.2207,-98.2023,-2.68,82,100,4.12,US,1675222996
12,puerto escondido,15.85,-97.0667,26.46,78,40,0.0,MX,1675222997
13,san patricio,28.017,-97.5169,3.93,84,100,6.12,US,1675222998
14,busselton,-33.65,115.3333,26.21,34,0,5.02,AU,1675222998
15,port alfred,-33.5906,26.891,22.25,81,3,2.62,ZA,1675222999
16,mataura,-46.1927,168.8643,21.32,74,100,1.51,NZ,1675222999
17,nishihara,26.1842,127.7558,22.81,58,75,5.66,JP,1675223001
18,manta,-0.95,-80.7333,25.88,83,75,2.57,EC,1675223002
19,vaini,-21.2,-175.2,28.09,83,75,4.12,TO,1675223002
20,coahuayana,18.7333,-103.6833,20.26,91,6,1.57,MX,1675223003
21,geraldton,-28.7667,114.6,33.23,33,0,7.72,AU,1675223004
22,pailon,-17.65,-62.75,23.5,96,100,1.63,BO,1675223005
23,rikitea,-23.1203,-134.9692,26.22,70,5,6.38,PF,1675223006
24,meadow lake,34.8014,-106.5436,4.51,49,14,3.94,US,1675223006
25,pisco,-13.7,-76.2167,23.03,78,0,3.09,PE,1675223007
26,puerto ayora,-0.7393,-90.3518,24.75,89,74,2.05,EC,1675223008
27,nizwa,22.9333,57.5333,17.24,46,2,1.32,OM,1675223009
28,srednekolymsk,67.45,153.6833,-29.18,95,97,1.03,RU,1675223009
29,ballangen,68.3428,16.8315,-2.74,100,75,0.0,NO,1675223010
30,tuatapere,-46.1333,167.6833,21.63,69,97,2.19,NZ,1675223012
31,kapaa,22.0752,-159.319,25.99,84,20,4.12,US,1675223013
32,new norfolk,-42.7826,147.0587,18.29,35,62,2.68,AU,1675223014
33,kodiak,57.79,-152.4072,2.73,93,100,2.57,US,1675223015
34,georgetown,5.4112,100.3354,28.97,74,20,2.57,MY,1675222897
35,artesia,33.8658,-118.0831,15.5,41,0,0.45,US,1675223016
36,bhuj,23.2667,69.6667,19.29,51,4,7.05,IN,1675222829
37,ushuaia,-54.8,-68.3,13.81,51,40,6.17,AR,1675223017
38,saint-philippe,-21.3585,55.7679,26.17,86,91,5.09,RE,1675223017
39,ferrol,43.4832,-8.2369,7.62,84,11,3.0,ES,1675223018
40,albany,42.6001,-73.9662,-6.47,65,97,1.56,US,1675222951
41,pokhara,28.2333,83.9833,21.26,17,0,2.33,NP,1675223018
42,ponta do sol,32.6667,-17.1,15.4,60,65,2.58,PT,1675223019
43,russkaya polyana,49.417,31.9201,-0.71,91,100,2.33,UA,1675223019
44,hofn,64.2539,-15.2082,-2.35,65,96,5.81,IS,1675223020
45,butaritari,3.0707,172.7902,26.89,78,89,7.71,KI,1675223020
46,sawtell,-30.3833,153.1,30.1,69,24,3.6,AU,1675223021
47,fairmont,39.4851,-80.1426,-1.45,95,100,1.13,US,1675223021
48,hermanus,-34.4187,19.2345,18.22,92,3,1.46,ZA,1675223021
49,lebu,-37.6167,-73.65,13.67,85,0,9.19,CL,1675223022
50,qaanaaq,77.484,-69.3632,-21.81,48,81,3.1,GL,1675223022
51,tarakan,3.3,117.6333,24.72,88,100,2.05,ID,1675223023
52,hilo,19.7297,-155.09,24.04,95,40,3.6,US,1675223023
53,tiksi,71.6872,128.8694,-17.99,98,100,3.59,RU,1675223023
54,angoche,-16.2325,39.9086,25.21,82,71,2.65,MZ,1675223024
55,shahdadkot,27.8477,67.9055,16.68,35,0,0.9,PK,1675223024
56,sourpi,39.1,22.9,5.29,75,20,3.09,GR,1675223025
57,sechura,-5.5569,-80.8222,23.99,72,95,1.8,PE,1675223025
